 * Serving Flask app "server" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on https://172.31.100.21:5001/ (Press CTRL+C to quit)
172.17.135.218 - - [25/Nov/2023 11:59:02] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 11:59:02] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 11:59:05] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 11:59:05] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 11:59:05] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 11:59:05] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 11:59:05] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:00:09] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:00:09] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:00:09] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:00:09] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:00:10] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:00:10] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:00:12] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:00:14] "OPTIONS /getjob/3199eecb54b140ffa1f2c24fd79f1de1 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:00:14] "GET /getjob/3199eecb54b140ffa1f2c24fd79f1de1 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:00:14] "OPTIONS /getjob/3199eecb54b140ffa1f2c24fd79f1de1/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:00:14] "GET /getjob/3199eecb54b140ffa1f2c24fd79f1de1/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:00:14] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:11] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:11] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:13] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:38] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:38] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:41] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:41] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:41] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:41] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:41] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:43] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:43] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:43] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:43] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:44] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:44] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:44] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:44] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:44] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:48] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:48] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:48] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:48] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:48] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:50] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:50] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:52] "OPTIONS /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:52] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:01:52] "GET /getjob/ffb6fc50d90d4019b538f0cc5d59360b/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:01:52] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:03:57] "OPTIONS /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:03:57] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "GET /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "GET /getjob/a819d826425c4a6dadeb90367173a554/ HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:00] "GET /getjobs HTTP/1.1" 200 -
172.17.135.218 - - [25/Nov/2023 12:04:02] "OPTIONS /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
172.17.135.218 - - [25/Nov/2023 12:04:02] "GET /getjob/a819d826425c4a6dadeb90367173a554 HTTP/1.1" 308 -
